country_name,Geographical_subregion,Continental_region,Country code
Afghanistan,Southern Asia,Asia,
Åland Islands,Northern Europe,Europe,
Albania,Southern Europe,Europe,
Algeria,Northern Africa,Africa,
American Samoa,Polynesia,Oceania,
Andorra,Southern Europe,Europe,
Angola,Middle Africa,Africa,
Anguilla,Caribbean,Americas,
Antigua and Barbuda,Caribbean,Americas,
Argentina,South America,Americas,
Armenia,Western Asia,Asia,
Aruba,Caribbean,Americas,
Australia,Australia and New Zealand,Oceania,au
Austria,Western Europe,Europe,
Azerbaijan,Western Asia,Asia,
Bahamas,Caribbean,Americas,
Bahrain,Western Asia,Asia,
Bangladesh,Southern Asia,Asia,
Barbados,Caribbean,Americas,
Belarus,Eastern Europe,Europe,
Belgium,Western Europe,Europe,
Belize,Central America,Americas,
Benin,Western Africa,Africa,
Bermuda,Northern America,Americas,
Bhutan,Southern Asia,Asia,
Bolivia,South America,Americas,
"Bonaire, Sint Eustatius and Saba [Caribbean Netherlands]",Caribbean,Americas,
Bosnia and Herzegovina,Southern Europe,Europe,
Botswana,Southern Africa,Africa,
Bouvet Island,South America,Americas,
Brazil,South America,Americas,br
British Indian Ocean Territory,Eastern Africa,Africa,
British Virgin Islands,Caribbean,Americas,
Brunei Darussalam,South-eastern Asia,Asia,
Bulgaria,Eastern Europe,Europe,
Burkina Faso,Western Africa,Africa,
Burundi,Eastern Africa,Africa,
Cape Verde,Western Africa,Africa,
Cambodia,South-eastern Asia,Asia,
Cameroon,Middle Africa,Africa,
Canada,Northern America,Americas,can
Cayman Islands,Caribbean,Americas,
Central African Republic,Middle Africa,Africa,
Chad,Middle Africa,Africa,
Chile,South America,Americas,
China,Eastern Asia,Asia,
"China, Macao Special Administrative Region",Eastern Asia,Asia,
Christmas Island,Australia and New Zealand,Oceania,
Cocos (Keeling) Islands,Australia and New Zealand,Oceania,
Colombia,South America,Americas,
Comoros,Eastern Africa,Africa,
Republic of the Congo,Middle Africa,Africa,
Cook Islands,Polynesia,Oceania,
Costa Rica,Central America,Americas,
Republic of the Côte d'Ivoire,Western Africa,Africa,
Croatia,Southern Europe,Europe,
Cuba,Caribbean,Americas,
Curaçao,Caribbean,Americas,
Cyprus,Western Asia,Asia,
Czech Republic,Eastern Europe,Europe,
Democratic People's Republic of Korea [North Korea],Eastern Asia,Asia,
Democratic Republic of the Congo,Middle Africa,Africa,
Denmark,Northern Europe,Europe,
Djibouti,Eastern Africa,Africa,
Dominica,Caribbean,Americas,
Dominican Republic,Caribbean,Americas,
Ecuador,South America,Americas,
Egypt,Northern Africa,Africa,
El Salvador,Central America,Americas,
Equatorial Guinea,Middle Africa,Africa,
Eritrea,Eastern Africa,Africa,
Estonia,Northern Europe,Europe,
Ethiopia,Eastern Africa,Africa,
Falkland Islands (Malvinas),South America,Americas,
Faroe Islands,Northern Europe,Europe,
Fiji,Melanesia,Oceania,
Finland,Northern Europe,Europe,
France,Western Europe,Europe,fr
French Guiana,South America,Americas,
French Polynesia,Polynesia,Oceania,
French Southern Territories,Eastern Africa,Africa,
Gabon,Middle Africa,Africa,
Gambia,Western Africa,Africa,
Georgia,Western Asia,Asia,
Germany,Western Europe,Europe,de
Ghana,Western Africa,Africa,
Gibraltar,Southern Europe,Europe,
Greece,Southern Europe,Europe,
Greenland,Northern America,Americas,
Grenada,Caribbean,Americas,
Guadeloupe,Caribbean,Americas,
Guam,Micronesia,Oceania,
Guatemala,Central America,Americas,
Guernsey,Northern Europe,Europe,
Guinea,Western Africa,Africa,
Guinea-Bissau,Western Africa,Africa,
Guyana,South America,Americas,
Haiti,Caribbean,Americas,
Heard Island and McDonald Islands,Australia and New Zealand,Oceania,
Holy See [Vatican City],Southern Europe,Europe,
Honduras,Central America,Americas,
Hong Kong,Eastern Asia,Asia,
Hungary,Eastern Europe,Europe,
Iceland,Northern Europe,Europe,
India,Southern Asia,Asia,in
Indonesia,South-eastern Asia,Asia,
Iran,Southern Asia,Asia,
Iraq,Western Asia,Asia,
Ireland,Northern Europe,Europe,
Isle of Man,Northern Europe,Europe,
Israel,Western Asia,Asia,
Italy,Southern Europe,Europe,it
Jamaica,Caribbean,Americas,
Japan,Eastern Asia,Asia,jp
Jersey,Northern Europe,Europe,
Jordan,Western Asia,Asia,
Kazakhstan,Central Asia,Asia,
Kenya,Eastern Africa,Africa,
Kiribati,Micronesia,Oceania,
Kuwait,Western Asia,Asia,
Kyrgyzstan,Central Asia,Asia,
Lao People's Democratic Republic,South-eastern Asia,Asia,
Latvia,Northern Europe,Europe,
Lebanon,Western Asia,Asia,
Lesotho,Southern Africa,Africa,
Liberia,Western Africa,Africa,
Libya,Northern Africa,Africa,
Liechtenstein,Western Europe,Europe,
Lithuania,Northern Europe,Europe,
Luxembourg,Western Europe,Europe,
Madagascar,Eastern Africa,Africa,
Malawi,Eastern Africa,Africa,
Malaysia,South-eastern Asia,Asia,
Maldives,Southern Asia,Asia,
Mali,Western Africa,Africa,
Malta,Southern Europe,Europe,
Marshall Islands,Micronesia,Oceania,
Martinique,Caribbean,Americas,
Mauritania,Western Africa,Africa,
Mauritius,Eastern Africa,Africa,
Mayotte,Eastern Africa,Africa,
Mexico,Central America,Americas,mx
Micronesia (Federated States of),Micronesia,Oceania,
Monaco,Western Europe,Europe,
Mongolia,Eastern Asia,Asia,
Montenegro,Southern Europe,Europe,
Montserrat,Caribbean,Americas,
Morocco,Northern Africa,Africa,
Mozambique,Eastern Africa,Africa,
Myanmar,South-eastern Asia,Asia,
Namibia,Southern Africa,Africa,
Nauru,Micronesia,Oceania,
Nepal,Southern Asia,Asia,
Netherlands,Western Europe,Europe,
New Caledonia,Melanesia,Oceania,
New Zealand,Australia and New Zealand,Oceania,
Nicaragua,Central America,Americas,
Niger,Western Africa,Africa,
Nigeria,Western Africa,Africa,
Niue,Polynesia,Oceania,
Norfolk Island,Australia and New Zealand,Oceania,
North Macedonia,Southern Europe,Europe,
Northern Mariana Islands,Micronesia,Oceania,
Norway,Northern Europe,Europe,
Oman,Western Asia,Asia,
Pakistan,Southern Asia,Asia,
Palau,Micronesia,Oceania,
Panama,Central America,Americas,
Papua New Guinea,Melanesia,Oceania,
Paraguay,South America,Americas,
Peru,South America,Americas,
Philippines,South-eastern Asia,Asia,
Pitcairn [Pitcairn Islands],Polynesia,Oceania,
Poland,Eastern Europe,Europe,
Portugal,Southern Europe,Europe,
Puerto Rico,Caribbean,Americas,
Qatar,Western Asia,Asia,
Republic of Moldova,Eastern Europe,Europe,
Réunion,Eastern Africa,Africa,
Romania,Eastern Europe,Europe,
Russia,Eastern Europe,Europe,
Rwanda,Eastern Africa,Africa,
Saint Barthélemy,Caribbean,Americas,
"Saint Helena [Saint Helena, Ascension and Tristan da Cunha]",Western Africa,Africa,
Saint Kitts and Nevis,Caribbean,Americas,
Saint Lucia,Caribbean,Americas,
Saint Martin (French part),Caribbean,Americas,
Saint Pierre and Miquelon,Northern America,Americas,
Saint Vincent and the Grenadines,Caribbean,Americas,
Samoa,Polynesia,Oceania,
San Marino,Southern Europe,Europe,
Sao Tome and Principe,Middle Africa,Africa,
Saudi Arabia,Western Asia,Asia,sa
Senegal,Western Africa,Africa,
Serbia,Southern Europe,Europe,
Seychelles,Eastern Africa,Africa,
Sierra Leone,Western Africa,Africa,
Singapore,South-eastern Asia,Asia,
Sint Maarten (Dutch part),Caribbean,Americas,
Slovakia,Eastern Europe,Europe,
Slovenia,Southern Europe,Europe,
Solomon Islands,Melanesia,Oceania,
Somalia,Eastern Africa,Africa,
South Africa,Southern Africa,Africa,
South Georgia and the South Sandwich Islands,South America,Americas,
Korea,Eastern Asia,Asia,
South Sudan,Eastern Africa,Africa,
Spain,Southern Europe,Europe,
Sri Lanka,Southern Asia,Asia,
State of Palestine,Western Asia,Asia,
Sudan,Northern Africa,Africa,
Suriname,South America,Americas,
Svalbard and Jan Mayen Islands,Northern Europe,Europe,
Swaziland,Southern Africa,Africa,
Sweden,Northern Europe,Europe,
Switzerland,Western Europe,Europe,
Syria,Western Asia,Asia,
Taiwan,Eastern Asia,Asia,
Tajikistan,Central Asia,Asia,
Thailand,South-eastern Asia,Asia,
Timor-Leste [East Timor],South-eastern Asia,Asia,
Togo,Western Africa,Africa,
Tokelau,Polynesia,Oceania,
Tonga,Polynesia,Oceania,
Trinidad and Tobago,Caribbean,Americas,
Tunisia,Northern Africa,Africa,
Turkey,Western Asia,Asia,
Turkmenistan,Central Asia,Asia,
Turks and Caicos Islands,Caribbean,Americas,
Tuvalu,Polynesia,Oceania,
Uganda,Eastern Africa,Africa,
Ukraine,Eastern Europe,Europe,
United Arab Emirates,Western Asia,Asia,uae
United Kingdom,Northern Europe,Europe,uk
United Republic of Tanzania,Eastern Africa,Africa,
United States,Northern America,Americas,usa
United States Minor Outlying Islands,Micronesia,Oceania,
United States Virgin Islands,Caribbean,Americas,
Uruguay,South America,Americas,
Uzbekistan,Central Asia,Asia,
Vanuatu,Melanesia,Oceania,
Venezuela,South America,Americas,
Vietnam,South-eastern Asia,Asia,
Wallis and Futuna Islands,Polynesia,Oceania,
Western Sahara (disputed)[note 3],Northern Africa,Africa,
Yemen,Western Asia,Asia,
Zambia,Eastern Africa,Africa,
Zimbabwe,Eastern Africa,Africa,
